scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,5,17,22.2689135862,6.9792498066,6.2600000000,9.0296637796,0.0000000000,0.0000000000,1.0000000000,9.0296637796,3.1300000000,0.2326416602
baseline_mixed,5,18,22.2900381595,6.4960573682,6.2600000000,9.5339807913,0.0000000000,0.0000000000,1.0000000000,9.5339807913,3.1300000000,0.2165352456
baseline_mixed,5,16,22.3213893602,7.5383136359,6.2600000000,8.5230757243,0.0000000000,0.0000000000,1.0000000000,8.5230757243,3.1300000000,0.2512771212
baseline_mixed,5,19,22.3762021555,6.0768260751,6.2600000000,10.0393760804,0.0000000000,0.0000000000,1.0000000000,10.0393760804,3.1300000000,0.2025608692
baseline_mixed,4,23,22.4310738781,4.5908648014,6.2521768470,11.5567396178,0.0312926118,0.0039115765,0.9987502951,11.5567396178,3.1260884235,0.1530288267
baseline_mixed,5,15,22.4762480474,8.1982658783,6.2600000000,8.0179821691,0.0000000000,0.0000000000,1.0000000000,8.0179821691,3.1300000000,0.2732755293
baseline_mixed,5,20,22.5092510644,5.7070214817,6.2600000000,10.5422295827,0.0000000000,0.0000000000,1.0000000000,10.5422295827,3.1300000000,0.1902340494
baseline_mixed,0,7,22.6433751376,11.0362993572,5.1502730334,2.0178948805,4.4389078666,0.2634950815,0.8227273216,2.0178948805,2.5751365167,0.3678766452
baseline_mixed,5,21,22.6848595109,5.3798263945,6.2600000000,11.0450331164,0.0000000000,0.0000000000,1.0000000000,11.0450331164,3.1300000000,0.1793275465
baseline_mixed,4,24,22.7178857816,4.3768840196,6.2525423800,12.0586289020,0.0298304799,0.0037288100,0.9988086869,12.0586289020,3.1262711900,0.1458961340
baseline_mixed,5,14,22.7704125208,8.9932386981,6.2600000000,7.5171738227,0.0000000000,0.0000000000,1.0000000000,7.5171738227,3.1300000000,0.2997746233
baseline_mixed,4,11,22.8296612346,11.0362993572,6.2399055771,5.4730786086,0.0803776918,0.0100472115,0.9967900283,5.4730786086,3.1199527885,0.3678766452
baseline_mixed,2,8,22.8558584348,12.6214260665,5.9756173155,3.1212843150,1.1375307378,0.0931051344,0.9545714562,3.1212843150,2.9878086578,0.4207142022
baseline_mixed,5,22,22.8963630687,5.0883791313,6.2600000000,11.5479839374,0.0000000000,0.0000000000,1.0000000000,11.5479839374,3.1300000000,0.1696126377
