decision_rule,minimum_fill_rate,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,simulation_stockout_rate,simulation_stockout_95_ci_low,simulation_stockout_95_ci_high,simulation_fill_rate,simulation_average_ending_inventory,simulation_average_order_quantity,absolute_cost_gap,incremental_cost_vs_unconstrained
minimum expected daily cost,0.0000000000,0.0000000000,14.0000000000,19.4352369768,6.0768260751,5.6717043368,5.3335239120,2.3531826529,0.1410026001,0.9060230570,5.3335239120,2.8358521684,0.2025608692,19.4512054795,19.4020060180,19.5004049410,0.1421369863,0.1406732726,0.1436007000,0.9065233739,5.3356164384,2.8412328767,0.0159685027,0.0000000000
minimum cost with fill rate >= 97%,0.9700000000,2.0000000000,15.0000000000,19.7937284230,6.4960573682,6.1160884961,6.6059365433,0.5756460155,0.0470483124,0.9770109419,6.6059365433,3.0580442481,0.2165352456,19.8076027397,19.7648392846,19.8503661949,0.0474246575,0.0459669802,0.0488823349,0.9770651574,6.6054931507,3.0614383562,0.0138743167,0.3584914463
