holding_cost,shortage_cost,best_s,best_S,best_average_daily_cost,best_stockout_rate,best_fill_rate,best_average_ending_inventory
0.5000000000,4.0000000000,1,12,16.5367841825,0.1068652773,0.9390501362,4.7138487981
0.5000000000,8.0000000000,1,12,17.2998764777,0.1068652773,0.9390501362,4.7138487981
0.5000000000,16.0000000000,2,12,18.2873058512,0.0593157861,0.9709144235,5.1090200234
1.0000000000,4.0000000000,1,12,18.8937085816,0.1068652773,0.9390501362,4.7138487981
1.0000000000,8.0000000000,1,12,19.6568008768,0.1068652773,0.9390501362,4.7138487981
1.0000000000,16.0000000000,2,12,20.8418158629,0.0593157861,0.9709144235,5.1090200234
2.0000000000,4.0000000000,1,10,23.1850813767,0.1261176169,0.9283150932,3.7415475810
2.0000000000,8.0000000000,1,10,24.0825764099,0.1261176169,0.9283150932,3.7415475810
2.0000000000,16.0000000000,1,11,25.8084423872,0.1161004063,0.9338216420,4.2251204297
