scenario,demand_mean,demand_variance,best_s,best_S,exact_average_daily_cost,exact_stockout_rate,exact_fill_rate,exact_average_ending_inventory,service_s,service_S,service_average_daily_cost,service_fill_rate,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,absolute_cost_gap
baseline_mixed,3.1300000000,2.4331000000,0,14,19.4352369768,0.1410026001,0.9060230570,5.3335239120,2,15,19.7937284230,0.9770109419,19.4512054795,19.4020060180,19.5004049410,0.0159685027
steady,3.0000000000,0.9000000000,0,14,18.5753738085,0.1330897255,0.9238052956,5.2651207999,1,16,18.7377570268,0.9703869355,18.5473287671,18.5138922680,18.5807652663,0.0280450414
volatile,3.0000000000,4.6000000000,1,14,19.3701293732,0.1050260956,0.9272468012,5.9903007124,3,16,20.1966786844,0.9831254054,19.3592739726,19.2991364621,19.4194114831,0.0108554006
promotion_peak,4.7900000000,3.0659000000,2,18,25.7208934845,0.1058485723,0.9549094504,6.9518032065,3,18,25.9700999502,0.9755246100,25.7255890411,25.6761446482,25.7750334340,0.0046955566
